player,position,club,clubConfed,country,continent,confederation
"Zinedine Zidane","Midfielder","Retired","None","France","Europe","UEFA"
"Cristiano Ronaldo","Forward","Real Madrid","UEFA","Portugal","Europe","UEFA"
"Wayne Rooney","Forward","Manchester United","UEFA","England","Europe","UEFA"
"Juan Sebastián Verón","Midfielder","Estudiantes","CONMEBOL","Argentina","South America","CONMEBOL"
"Marco van Basten","Forward","Retired","None","Netherlands","Europe","UEFA"
"Gianluigi Buffon","Goalkeeper","Juventus","UEFA","Italy","Europe","UEFA"
"Xavi Hernández","Midfielder","Barcelona","UEFA","Spain","Europe","UEFA"
"Andrés Iniesta","Midfielder","Barcelona","UEFA","Spain","Europe","UEFA"
"Didier Drogba","Forward","Chelsea","UEFA","Ivory Coast","Africa","CAF"
"Eden Hazard","Midfielder","Chelsea","UEFA","Belgium","Europe","UEFA"
"Carlos Tevez","Forward","Juventus","UEFA","Argentina","South America","CONMEBOL"
"Bastian Schweinsteiger","Midfielder","Bayern Munich","UEFA","Germany","Europe","UEFA"
"Steven Gerrard","Midfielder","Liverpool","UEFA","England","Europe","UEFA"
"Alessandro Del Piero","Forward","Sydney FC","AFC","Italy","Europe","UEFA"
"Neymar Jr.","Forward","Barcelona","UEFA","Brazil","South America","CONMEBOL"
"Diego Forlán","Forward","Cerezo Osaka","AFC","Uruguay","South America","CONMEBOL"
"Mesut Özil","Midfielder","Arsenal","UEFA","Germany","Europe","UEFA"
"Hidetoshi Nakata","Midfielder","Retired","None","Japan","Asia","AFC"
"Jean-Pierre Papin","Forward","Retired","None","France","Europe","UEFA"
"Michael Ballack","Midfielder","Retired","None","Germany","Europe","UEFA"
"Robin van Persie","Forward","Manchester United","UEFA","Netherlands","Europe","UEFA"
"David Beckham","Midfielder","Retired","None","England","Europe","UEFA"
"Ryan Giggs","Midfielder","Manchester United","UEFA","Wales","Europe","UEFA"
"Paul Scholes","Midfielder","Retired","None","England","Europe","UEFA"
"Lionel Messi","Forward","Barcelona","UEFA","Argentina","South America","CONMEBOL"
"Gareth Bale","Winger","Real Madrid","UEFA","Wales","Europe","UEFA"
"Harry Kewell","Winger","Melbourne Heart","AFC","Australia","Australia","AFC"
"Pavel Nedvěd","Winger","Retired","None","Czech Republic","Europe","UEFA"
"Paolo Maldini","Defender","Retired","None","Italy","Europe","UEFA"
"Sergio Agüero","Forward","Manchester City","UEFA","Argentina","South America","CONMEBOL"
"Raúl","Forward","New York Cosmos","CONCACAF","Spain","Europe","UEFA"
"Iker Casillas","Goalkeeper","Real Madrid","UEFA","Spain","Europe","UEFA"
"Edinson Cavani","Forward","Paris Saint-Germain","UEFA","Uruguay","South America","CONMEBOL"
"Karim Benzema","Forward","Real Madrid","UEFA","France","Europe","UEFA"
"Mario Mandžukić","Forward","Atlético Madrid","UEFA","Croatia","Europe","UEFA"
"Mario Balotelli","Forward","Liverpool","UEFA","Italy","Europe","UEFA"
"Zlatan Ibrahimović","Forward","Paris Saint-Germain","UEFA","Sweden","Europe","UEFA"
"Lothar Matthäus","Midfielder","Retired","None","Germany","Europe","UEFA"
"Andriy Shevchenko","Forward","Retired","None","Ukraine","Europe","UEFA"
"Eric Cantona","Forward","Retired","None","France","Europe","UEFA"
"Ronaldinho","Forward","Querétaro","CONCACAF","Brazil","South America","CONMEBOL"
"Ronaldo","Forward","Retired","None","Brazil","South America","CONMEBOL"
"Romário","Forward","Retired","None","Brazil",South America","CONMEBOL"
"Rivaldo","Midfielder","Mogi Mirim","CONMEBOL","Brazil","South America","CONMEBOL"
"Robinho","Forward","Atlético Mineiro","CONMEBOL","Brazil","South America","CONMEBOL"
"Ramires","Midfielder","Chelsea","UEFA","Brazil","South America","CONMEBOL"
"Kaká","Midfielder","Orlando City","CONCACAF","Brazil","South America","CONMEBOL"
"Radamel Falcao","Forward","Monaco","UEFA","Colombia","South America","CONMEBOL"
"Franck Ribéry","Winger","Bayern Munich","UEFA","France","Europe","UEFA"
"Andrea Pirlo","Midfielder","Juventus","UEFA","Italy","Europe","UEFA"
"Gary Cahill","Defender","Chelsea","UEFA","England","Europe","UEFA"
"Vincent Kompany","Defender","Manchester City","UEFA","Belgium","Europe","UEFA"
"Ferenc Puskás","Forward","Retired","None","Hungary","Europe","UEFA"
"Eusébio","Forward","Retired","None","Portugal","Europe","UEFA"
"Franz Beckenbauer","Defender","Retired","None","Germany","Europe","UEFA"
"Michel Platini","Midfielder","Retired","None","France","Europe","UEFA"
"George Best","Winger","Retired","None","Northern Ireland","Europe","UEFA"
"Bobby Charlton","Forward","Retired","None","England","Europe","UEFA"
"Johan Cruyff","Forward","Retired","None","Netherlands","Europe","UEFA"
"Roberto Baggio","Forward","Retired","None","Italy","Europe","UEFA"
"Diego Armando Maradona","Midfielder","Retired","None","Argentina","South America","CONMEBOL"
"Pelé","Forward","Retired","None","Brazil","South America","CONMEBOL"
"Fabio Cannavaro","Defender","Retired","None","Italy","Europe","UEFA"
"Giorgos Karagounis","Midfielder","Fulham","UEFA","Greece","Europe","UEFA"
"Chicharito","Forward","Manchester United","UEFA","Mexico","North America","CONCACAF"
"William Gallas","Defender","Perth Glory","AFC","France","Europe","UEFA"
"Alexis Sánchez","Winger","Arsenal","UEFA","Chile","South America","CONMEBOL"
"Mark Bosnich","Goalkeeper","Retired","None","Australia","Australia","AFC"
"Hulk","Winger","Zenit Saint Petersburg","UEFA","Brazil","South America","CONMEBOL"
"Alexi Lalas","Defender","Retired","None","USA","North America","CONCACAF"
"Jack Wilshere","Midfielder","Arsenal","UEFA","England","Europe","UEFA"
"Keisuke Honda","Winger","AC Milan","UEFA","Japan","Asia","AFC"
"Sergio Busquets","Midfielder","Barcelona","UEFA","Spain","Europe","UEFA"
"Dickie Stobbart","Forward","Retired","None","Canada","North America","CONCACAF"
"Simão Sabrosa","Winger","Espanyol","UEFA","Portugal","Europe","UEFA"
"Thierry Henry","Forward","New York Red Bulls","CONCACAF","France","Europe","UEFA"
"Luka Modrić","Midfielder","Real Madrid","UEFA","Croatia","Europe","UEFA"
"Arturo Vidal","Midfielder","Juventus","UEFA","Chile","South America","CONMEBOL"
"Park Ji-sung","Midfielder","Queens Park Rangers","UEFA","South Korea","Asia","AFC"
"Landon Donovan","Winger","LA Galaxy","CONCACAF","USA","North America","CONCACAF"
"Samuel Eto'o","Forward","Everton","UEFA","Cameroon","Africa","CAF"